domain,outlet,bias_outlet,credibility,source
100percentfedup.com,,,low,mbfc
10news.one,,,low,mbfc
680news.com,,center,high,mbfc
9news.com.au,,right,high,mbfc
abovethelaw.com,,left,high,mbfc
abriluno.com,,center,low,mbfc
abs-cbn.com,,center,high,mbfc
acculturated.com,,right,high,mbfc
aclj.org,,right,mixed,mbfc
aclu.org,,left,high,mbfc
acpeds.org,,right,low,mbfc
act.tv,,left,high,mbfc
adaa.org,,center,high,mbfc
addictinginfo.org,,left,mixed,mbfc
adelaidenow.com.au,,right,mixed,mbfc
adflegal.org,,,low,mbfc
adobochronicles.com,,center,low,mbfc
advocate.com,,left,high,mbfc
aei.org,,right,mixed,mbfc
aeon.co,,left,high,mbfc
afa.net,,,low,mbfc
afr.com,,center,high,mbfc
againstcronycapitalism.org,,right,mixed,mbfc
ageofshitlords.com,,right,low,mbfc
ahtribune.com,,left,mixed,mbfc
aim.org,,right,mixed,mbfc
aina.org,,right,mixed,mbfc
airwars.org,,center,high,mbfc
al-monitor.com,,left,high,mbfc
alaraby.co.uk,,left,high,mbfc
alec.org,,right,mixed,mbfc
algemeiner.com,,right,high,mbfc
alhayat.com,,left,high,mbfc
aljazeera.com,,left,high,mbfc
allenwestrepublic.com,,,low,mbfc
allgov.com,,center,high,mbfc
allnewspipeline.com,,,low,mbfc
allsides.com,AARP,center,,allsides
allthatsfab.com,,left,mixed,mbfc
almasdarnews.com,,left,mixed,mbfc
alphanewsmn.com,,right,mixed,mbfc
alreporter.com,,center,high,mbfc
alternet.org,,left,mixed,mbfc
altoday.com,,center,high,mbfc
amazingnews.net,,,low,mbfc
americablog.com,,left,high,mbfc
americanbridgepac.org,,left,mixed,mbfc
americanconsequences.com,,right,mixed,mbfc
americanewshub.com,,right,mixed,mbfc
americanheritage.com,,center,high,mbfc
americanindependent.com,,left,high,mbfc
americanlookout.com,,,low,mbfc
americanmilitarynews.com,,right,mixed,mbfc
americannewsx.com,,left,mixed,mbfc
americanpatriotdaily.com,,,low,mbfc
americanprogress.org,,left,high,mbfc
americansforprosperity.org,,right,mixed,mbfc
americanthinker.com,,right,mixed,mbfc
americantruthseekers.com,,,low,mbfc
amgreatness.com,,right,high,mbfc
ammoland.com,,right,high,mbfc
amny.com,,left,high,mbfc
amren.com,,,low,mbfc
anthropocenemagazine.org,,center,high,mbfc
antifascistnews.net,,left,high,mbfc
antiwar.com,,right,mixed,mbfc
aol.com,,left,high,mbfc
aptnnews.ca,,center,high,mbfc
atimes.com,,center,high,mbfc
atlanticmedia.com,,left,high,mbfc
atlbanana.com,,center,low,mbfc
auburnpub.com,,center,high,mbfc
autostraddle.com,,left,high,mbfc
avoiceformen.com,,,low,mbfc
azcentral.com,,right,high,mbfc
azdailysun.com,,left,high,mbfc
babylonbee.com,,center,low,mbfc
baltimoresun.com,,left,high,mbfc
bangkokpost.com,,center,high,mbfc
bannedinformation.com,,,low,mbfc
baptistnews.com,,left,high,mbfc
barenakedislam.com,,,low,mbfc
bb4sp.com,,,low,mbfc
bbarta24.net,,center,high,mbfc
bearingarms.com,,right,mixed,mbfc
beaware.one,,,low,mbfc
beinglibertarian.com,,right,high,mbfc
beliefnet.com,,right,mixed,mbfc
betootaadvocate.com,,center,low,mbfc
bettergov.org,,center,high,mbfc
bigamericannews.com,,center,low,mbfc
biggovernment.news,,right,mixed,mbfc
bigleaguepolitics.com,,right,mixed,mbfc
bigthink.com,,center,high,mbfc
billmoyers.com,,left,high,mbfc
bipartisanpolicy.org,,right,high,mbfc
bipartisanreport.com,,,low,mbfc
birminghammail.co.uk,,left,mixed,mbfc
bismarcktribune.com,,center,high,mbfc
bitchmedia.org,,left,high,mbfc
bizpacreview.com,,right,mixed,mbfc
bizstandardnews.com,,center,low,mbfc
bjreview.com,,left,high,mbfc
blackpigeonspeaks.com,,,low,mbfc
blastingnews.com,,left,mixed,mbfc
blogspot.com,,center,high,mbfc
bloomberg.com,,left,high,mbfc
bluedotdaily.com,,left,mixed,mbfc
bluenationreview.com,,left,mixed,mbfc
bluestemprairie.com,,left,high,mbfc
bluetribune.com,,,low,mbfc
bluntforcetruth.com,,,low,mbfc
boingboing.net,,left,high,mbfc
breakingdefense.com,,right,high,mbfc
breitbart.com,,right,mixed,mbfc
breitbartunmasked.com,,left,mixed,mbfc
brexitcentral.com,,right,mixed,mbfc
britannica.com,,center,high,mbfc
brokenworldnews.com,,center,low,mbfc
budapestbeacon.com,,left,high,mbfc
bullshido.net,,center,high,mbfc
bullshitnews.org,,center,low,mbfc
burrardstreetjournal.com,,center,low,mbfc
businessinsider.com,,left,high,mbfc
buzzfeed.com,,left,mixed,mbfc
